Rental flat Y/N,Postal Code,Address,Total units,1-room (units),2-room (units),3-room (units),Charities serving block,Demographic,Food needed,Frequency needed
,521885,Blk 885A Tampines Street 83,234,182,52,0,,,,
,522299,Blk 299B Tampines Street 22,270,198,72,0,Care Corner FSC,,,
,522872,Blk 872B Tampines Street 86,270,165,105,0,,,,
,523499,Blk 499C Tampines Avenue 9,228,131,97,0,,,,
,525492,Blk 492E Tampines Street 45,253,154,99,0,,,,
,526492,Blk 492F Tampines Street 45,198,132,66,0,,,,
N,640480,Blk 480 Jurong West Street 41,,,,,Loving Heart MSC (Jurong),,,
N,640484,Blk 484 Jurong West Avenue 1,,,,,Loving Heart MSC (Jurong),,,
,530025,Blk 25 Hougang Avenue 3,247,0,247,0,,,,
N,640491,Blk 491 Jurong West Avenue 1,,,,,Loving Heart MSC (Jurong),,,
,530313,Blk 313 Hougang Avenue 5,72,24,48,108,,,,
,530316,Blk 316 Hougang Avenue 7,30,10,20,105,,,,
N,640499,Blk 499 Jurong West Street 41,,,,,Loving Heart MSC (Jurong),,,
,531008,Blk 8 Lorong Lew Lian,154,0,154,0,,,,
,533986,Blk 986C Buangkok Crescent,195,150,45,0,,,,
,535986,Blk 986D Buangkok Crescent,195,150,45,1,,,,
,539174,Blk 174C Hougang Avenue 1,209,99,110,0,Fei Yue SAC @ Blk 174A,,,
,539174,Blk 174D Hougang Avenue 1,208,99,109,0,,,,
,540182,Blk 180C Marsiling Road,420,180,240,0,,,,
,540182,Blk 182 Rivervale Crescent,438,323,115,0,COMNET SAC,,,
N,462509,Blk 509 Bedok North Street 3,,,,,THKMC (East),,,
,540350,Blk 350 Anchorvale Road,344,173,171,0,,,,
,550157,Blk 156 Mei Ling Street,166,0,166,0,,,,
,550157,Blk 157 Serangoon North Avenue 1,195,90,105,0,,,,
,551223,Blk 223A Serangoon Avenue 4,247,182,65,0,,,,
,560115,Blk 115 Ang Mo Kio Avenue 4,200,200,0,0,THK SAC @ AMK 257,,,
,560116,Blk 116 Ang Mo Kio Avenue 4,160,0,160,0,THK SAC @ AMK 257,,,
,560123,Blk 123 Ang Mo Kio Avenue 6,192,192,0,0,AWWA Community Home For Senior Citizen,,,
,560125,Blk 125 Ang Mo Kio Avenue 6,160,0,160,0,,,,
,560203,Blk 203 Ang Mo Kio Avenue 3,160,0,160,0,THK SAC @ AMK 208,,,
,560206,Blk 206 Ang Mo Kio Avenue 1,160,0,160,0,THK SAC @ AMK 208,,,
N,640515,Blk 515 Jurong West Street 52,,,,,Loving Heart MSC (Jurong),,,
N,640518,Blk 518 Jurong West Street 52,,,,,Loving Heart MSC (Jurong),,,
,560217,Blk 217 Ang Mo Kio Avenue 1,240,200,40,0,"THK SAC @ AMK 208, SG Food Rescue",,,
,560224,Blk 224 Ang Mo Kio Avenue 1,160,0,160,0,THK SAC @ AMK 208,,,
,560244,Blk 244 Ang Mo Kio Avenue 3,154,0,154,0,THK SAC @ AMK 257,,,
N,150052,Blk 52 Lengkok Bahru,,,,,"Free Food For All, South Central Community FSC",,,
,560245,Blk 245 Ang Mo Kio Avenue 3,154,0,154,0,THK SAC @ AMK 257,,,
,560257,Blk 257 Ang Mo Kio Avenue 4,264,264,0,0,THK SAC @ AMK 257,,,
N,640520,Blk 520 Jurong West Street 52,,,,,Loving Heart MSC (Jurong),,,
N,640525,Blk 525 Jurong West Street 52,,,,,Loving Heart MSC (Jurong),,,
,560314,Blk 314 Ang Mo Kio Avenue 3,242,0,242,0,,,,
N,640530,Blk 530 Jurong West Street 52,,,,,Loving Heart MSC (Jurong),,,
N,641530,Blk 530A Jurong West Avenue 1,,,,,Loving Heart MSC (Jurong),,,
,560318,Blk 318 Ang Mo Kio Avenue 1,198,198,0,0,,,,
,560323,Blk 323 Ang Mo Kio Avenue 3,154,0,154,0,Cheng San FSC,,,
N,640539,Blk 539 Jurong West Avenue 1,,,,,Loving Heart MSC (Jurong),,,
,560406,Blk 406 Ang Mo Kio Avenue 10,220,0,220,0,,,,
,560420,Blk 420 Ang Mo Kio Avenue 10,264,264,0,0,COMNET SAC (Ang Mo Kio FSC),,,
,560469,Blk 469 Ang Mo Kio Avenue 10,220,0,220,0,COMNET SAC (Ang Mo Kio FSC),,,
,560508,Blk 508 Ang Mo Kio Avenue 8,160,0,160,0,COMNET SAC @ Blk 510,,,
,560510,Blk 510 Ang Mo Kio Avenue 8,160,0,160,0,COMNET SAC @ Blk 510,,,
,560626,Blk 626 Ang Mo Kio Avenue 4,240,0,240,0,,,,
N,640550,Blk 550 Jurong West Street 42,,,,,Loving Heart MSC (Jurong),,,
,560641,Blk 641 Ang Mo Kio Avenue 4,240,0,240,0,"Free Food For All, AMK FSC",,,
,560645,Blk 645 Ang Mo Kio Avenue 6,352,0,352,0,THK SAC@ AMK 645,,,
,560647,Blk 647 Ang Mo Kio Avenue 6,192,0,192,0,,,,
,570026,Blk 26 Sector A Sin Ming Industrial Estate,396,396,0,0,COMNET SAC,,,
,570410,Blk 410 Sin Ming Avenue,408,168,240,0,COMNET SAC,,,
,600373,Blk 373 Jurong East Street 32,231,176,55,0,Loving Heart MSC (Jurong),,,
,600374,Blk 374 Jurong East Street 32,231,176,55,0,Loving Heart MSC (Jurong),,,
,610116,Blk 116 Ho Ching Road,160,0,160,0,Loving Heart MSC (Jurong),,,
,610117,Blk 117 Ho Ching Road,160,0,160,0,Loving Heart MSC (Jurong),,,
,610118,Blk 118 Corporation Drive,160,0,160,0,,,,
,640178,Blk 178 Boon Lay Drive,198,158,40,0,,,,
,640188,Blk 188 Boon Lay Drive,249,36,213,0,THK SAC @ Boon Lay @ Blk 190,,,
,640191,Blk 191 Boon Lay Drive,499,48,451,0,THK SAC @ Boon Lay @ Blk 190,,,
,641967,Blk 967A Jurong West Street 93,221,91,130,0,Free Food For All,,,
,642967,Blk 967B Jurong West Street 93,325,182,143,0,,,,
,650109,Blk 109 Bukit Batok West Avenue 6,40,20,20,75,Fei Yue SAC ,,,
,650412,Blk 412 Bukit Batok West Avenue 4,224,80,144,0,,,,
,651210,Blk 210A Bukit Batok Street 21,,,,,Fei Yue SAC,,,
,651447,Blk 447A Bukit Batok West Avenue 9,432,208,224,0,,,,
,671632,Blk 632A Senja Road,163,109,54,0,"Fei Yue SAC @ Blk 634B, Zhenghua Indian Active Executive Committee",,,
,671632,Blk 632B Senja Road,134,114,20,0,"Fei Yue SAC @ Blk 634B, Zhenghua Indian Active Executive Committee",,,
,680009,Blk 9 Teck Whye Lane,240,0,240,0,Fei Yue SAC,,,
,680536,Blk 536 Choa Chu Kang Street 51,169,91,78,0,CDL,,,
N,640643,Blk 643 Jurong West Street 61,,,,,Loving Heart MSC (Jurong),,,
,680537,Blk 537 Choa Chu Kang Street 51,169,91,78,0,"CDL, Fei Yue @ Limbang Green @ Blk 574 Choa Chu Kang Street 52 (Eldercare Services)",,,
,688845,Blk 165A Teck Whye Crescent,290,173,117,0,Fei Yue FSC,,,
,730003,Blk 3 Marsiling Road,456,456,0,0,Care Corner FSC (Woodlands),,,
,730004,Blk 4 Marsiling Road,412,412,0,0,Care Corner FSC (Woodlands),,,
